ProductID,ProductName,Category,SubCategory,CostPrice,RetailPrice
PRD-001,"ProBook Ultrabook 15",Technology,Laptops & Computers,650,999
PRD-002,"Apex Gaming Desktop",Technology,Laptops & Computers,1100,1699
PRD-003,"Business Slim Laptop 14",Technology,Laptops & Computers,480,749
PRD-004,"Developer Workstation Pro",Technology,Laptops & Computers,1400,2199
PRD-005,"Wireless Ergonomic Mouse",Technology,Accessories,15,39
PRD-006,"Mechanical RGB Keyboard",Technology,Accessories,35,89
PRD-007,"Noise-Cancelling Headset",Technology,Accessories,55,129
PRD-008,"USB-C Multi-Port Hub",Technology,Accessories,18,49
PRD-009,"4K Dual Monitor 27-inch",Technology,Accessories,180,329
PRD-010,"Alpha Smartphone 5G",Technology,Smartphones & Tablets,420,799
PRD-011,"TabPro 11-inch Tablet",Technology,Smartphones & Tablets,260,499
PRD-012,"Smart Fitness Watch Gen 4",Technology,Smartphones & Tablets,90,199
PRD-013,"Premium Laser Paper A4 (5 Reams)",Office Supplies,Paper & Stationery,14,28
PRD-014,"Executive Notebook Set",Office Supplies,Paper & Stationery,8,22
PRD-015,"Gel Pen Box (Assorted 24pk)",Office Supplies,Paper & Stationery,5,15
PRD-016,"Mesh Desk Organizer Caddy",Office Supplies,Organization,9,24
PRD-017,"Heavy Duty Document Shredder",Office Supplies,Organization,65,139
PRD-018,"Laminating Machine Pro",Office Supplies,Organization,40,85
PRD-019,"Magnetic Glass Whiteboard",Office Supplies,Storage & Presentation,75,175
PRD-020,"Locking Storage Cabinet 2-Door",Office Supplies,Storage & Presentation,110,230
PRD-021,"ErgoComfort High-Back Mesh Chair",Furniture,Chairs,120,289
PRD-022,"Executive Leather Recliner Chair",Furniture,Chairs,210,450
PRD-023,"Drafting Stool with Foot Ring",Furniture,Chairs,65,149
PRD-024,"Electric Height-Adjustable Standing Desk",Furniture,Desks,240,549
PRD-025,"Corner L-Shaped Executive Desk",Furniture,Desks,290,620
PRD-026,"Compact Home Office Desk",Furniture,Desks,95,210
PRD-027,"Solid Wood 5-Tier Bookshelf",Furniture,Bookcases,115,260
PRD-028,"Modular Cube Storage Shelf",Furniture,Bookcases,60,135
