OrderID,OrderDate,ShipDate,CustomerID,ProductID,RegionID,SalesChannel,PaymentMethod,Quantity,UnitPrice,Discount,TotalSales,TotalCost,TotalProfit
ORD-2023-01928,2023-01-01,2023-01-04,CUST-0207,PRD-002,R106,Online,PayPal,4,1699,0.1,6116.4,4400,1716.4
ORD-2023-00326,2023-01-02,2023-01-06,CUST-0027,PRD-008,R108,In-Store,Cash,4,49,0,196,72,124
ORD-2023-03317,2023-01-02,2023-01-03,CUST-0147,PRD-020,R108,Distributor,Cash,6,230,0.05,1311,660,651
ORD-2023-00818,2023-01-03,2023-01-04,CUST-0229,PRD-019,R107,Online,Cash,2,175,0,350,150,200
ORD-2023-01713,2023-01-03,2023-01-05,CUST-0084,PRD-026,R101,Distributor,Bank Transfer,6,210,0.05,1197,570,627
ORD-2023-03069,2023-01-03,2023-01-05,CUST-0224,PRD-019,R105,Distributor,Bank Transfer,5,175,0.15,743.75,375,368.75
ORD-2023-00447,2023-01-04,2023-01-07,CUST-0179,PRD-016,R108,In-Store,PayPal,4,24,0.05,91.2,36,55.2
ORD-2023-00968,2023-01-04,2023-01-06,CUST-0116,PRD-002,R106,In-Store,Cash,2,1699,0,3398,2200,1198
ORD-2023-01694,2023-01-04,2023-01-06,CUST-0112,PRD-020,R103,In-Store,Cash,4,230,0,920,440,480
ORD-2023-01726,2023-01-04,2023-01-09,CUST-0061,PRD-015,R108,In-Store,PayPal,1,15,0.05,14.25,5,9.25
ORD-2023-01109,2023-01-05,2023-01-07,CUST-0122,PRD-018,R106,Distributor,PayPal,1,85,0.1,76.5,40,36.5
ORD-2023-02166,2023-01-05,2023-01-08,CUST-0008,PRD-002,R103,Distributor,Cash,1,1699,0.05,1614.05,1100,514.05
ORD-2023-02105,2023-01-07,2023-01-10,CUST-0242,PRD-002,R105,In-Store,Cash,6,1699,0.15,8664.9,6600,2064.9
ORD-2023-03264,2023-01-07,2023-01-10,CUST-0064,PRD-017,R106,In-Store,Bank Transfer,4,139,0.05,528.2,260,268.2
ORD-2023-00512,2023-01-08,2023-01-09,CUST-0162,PRD-013,R108,In-Store,Bank Transfer,2,28,0.1,50.4,28,22.4
ORD-2023-01251,2023-01-08,2023-01-11,CUST-0218,PRD-008,R103,In-Store,Bank Transfer,2,49,0.2,78.4,36,42.4
ORD-2023-01966,2023-01-08,2023-01-09,CUST-0058,PRD-015,R105,Online,Cash,5,15,0.05,71.25,25,46.25
ORD-2023-01782,2023-01-09,2023-01-11,CUST-0215,PRD-015,R102,Distributor,Bank Transfer,6,15,0,90,30,60
ORD-2023-02612,2023-01-09,2023-01-10,CUST-0073,PRD-020,R106,Online,Bank Transfer,1,230,0,230,110,120
ORD-2023-02653,2023-01-09,2023-01-10,CUST-0185,PRD-027,R108,Online,Bank Transfer,5,260,0,1300,575,725
ORD-2023-02167,2023-01-10,2023-01-14,CUST-0173,PRD-005,R104,In-Store,PayPal,6,39,0,234,90,144
ORD-2023-02429,2023-01-10,2023-01-11,CUST-0027,PRD-011,R101,Distributor,Bank Transfer,3,499,0,1497,780,717
ORD-2023-00092,2023-01-11,2023-01-15,CUST-0180,PRD-003,R106,Online,Cash,3,749,0.15,1909.95,1440,469.95
ORD-2023-00524,2023-01-11,2023-01-12,CUST-0195,PRD-026,R101,In-Store,Cash,4,210,0,840,380,460
ORD-2023-00990,2023-01-11,2023-01-13,CUST-0173,PRD-006,R106,Online,Cash,1,89,0,89,35,54
ORD-2023-01189,2023-01-11,2023-01-13,CUST-0023,PRD-003,R103,Distributor,Bank Transfer,4,749,0.2,2396.8,1920,476.8
ORD-2023-01763,2023-01-11,2023-01-13,CUST-0220,PRD-013,R106,In-Store,Bank Transfer,3,28,0.05,79.8,42,37.8
ORD-2023-02282,2023-01-11,2023-01-14,CUST-0145,PRD-020,R107,Online,PayPal,3,230,0.1,621,330,291
ORD-2023-02519,2023-01-11,2023-01-12,CUST-0153,PRD-012,R108,In-Store,PayPal,4,199,0,796,360,436
ORD-2023-01761,2023-01-12,2023-01-16,CUST-0181,PRD-020,R107,In-Store,Bank Transfer,1,230,0.05,218.5,110,108.5
ORD-2023-01792,2023-01-12,2023-01-16,CUST-0086,PRD-001,R105,In-Store,PayPal,5,999,0.15,4245.75,3250,995.75
ORD-2023-01919,2023-01-12,2023-01-16,CUST-0107,PRD-018,R107,Distributor,Cash,6,85,0,510,240,270
ORD-2023-02896,2023-01-12,2023-01-13,CUST-0068,PRD-010,R106,In-Store,Bank Transfer,3,799,0.05,2277.15,1260,1017.15
ORD-2023-00832,2023-01-13,2023-01-17,CUST-0182,PRD-015,R101,Distributor,Cash,5,15,0,75,25,50
ORD-2023-02042,2023-01-13,2023-01-14,CUST-0066,PRD-005,R103,Online,Bank Transfer,5,39,0.05,185.25,75,110.25
ORD-2023-02769,2023-01-13,2023-01-16,CUST-0047,PRD-016,R105,Online,Cash,3,24,0.2,57.6,27,30.6
ORD-2023-01628,2023-01-14,2023-01-17,CUST-0093,PRD-003,R101,Distributor,Credit Card,6,749,0,4494,2880,1614
ORD-2023-00179,2023-01-15,2023-01-19,CUST-0042,PRD-027,R101,Online,Credit Card,3,260,0,780,345,435
ORD-2023-00091,2023-01-16,2023-01-17,CUST-0086,PRD-009,R106,Online,PayPal,6,329,0.2,1579.2,1080,499.2
ORD-2023-00123,2023-01-16,2023-01-18,CUST-0163,PRD-021,R101,Online,Credit Card,1,289,0.05,274.55,120,154.55
